time,icao24,lat,lon,velocity,altitude
1645416800,a98909,38.92300415,-77.11249973,61.51210156,449.58
1645416810,a98909,38.91832255,-77.10906982,62.11365412,449.58
1645416820,a98909,38.91362077,-77.10455322,64.89747252,419.1
1645416830,a98909,38.909729,-77.09900566,65.43760035,381
1645416840,a98909,38.90693665,-77.0928557,65.35868792,342.9
1645416850,a98909,38.90496826,-77.08533246,67.37645396,320.04
1645416860,a98909,38.90319307,-77.07818604,65.34248898,289.56
1645416870,a98909,38.9002533,-77.07177867,61.22748151,251.46
1645416880,a98909,38.89686584,-77.06724084,59.29511091,220.98
1645416890,a98909,38.89283752,-77.06210593,60.03144885,198.12
1645416900,a98909,38.88894653,-77.05750839,60.15476206,167.64
1645416910,a98909,38.88464355,-77.05279143,60.5428684,137.16
1645416920,a98909,38.88464355,-77.05279143,60.5428684,137.16
1645416930,a98909,38.88464355,-77.05279143,60.45537866,144.78
1645416940,a98909,38.88464355,-77.05279143,60.12175653,137.16
1645416950,a98909,38.86889648,-77.0396556,60.92198676,22.86
1645416960,a98909,38.86889648,-77.0396556,60.96758299,22.86
1645416970,a98909,38.85598755,-77.0382226,58.31626089,38.1
1647264600,a193aa,41.96905518,-87.90417064,58.646616,167.64
1647264610,a193aa,41.96905518,-87.90866505,65.85084152,167.64
1647264620,a193aa,41.96910095,-87.92233554,77.17345895,220.98
1647264630,a193aa,41.96930966,-87.92977976,75.46737427,411.48
1647264640,a193aa,41.97224245,-87.93980798,75.36209539,571.5
1647264650,a193aa,41.97796838,-87.94536502,83.22234859,685.8
1647264660,a193aa,41.98537018,-87.94708962,97.2421639,739.14
1647264670,a193aa,41.99537891,-87.94389592,109.8371071,807.72
1647264680,a193aa,42.00441005,-87.93891374,112.2018757,914.4
1647264690,a193aa,42.01409912,-87.93325944,115.3846401,1036.32
1647264700,a193aa,42.02348328,-87.92757901,118.623692,1150.62
1647264710,a193aa,42.0335052,-87.92179551,123.3486102,1257.3
1647264720,a193aa,42.04454041,-87.91571877,132.5000432,1310.64
1647264730,a193aa,42.05552673,-87.9099135,139.0978951,1379.22
1647264740,a193aa,42.06765747,-87.90367126,142.2788797,1493.52
1647264750,a193aa,42.07987976,-87.89755388,144.6905188,1615.44
1647264760,a193aa,42.09216102,-87.89164698,147.4185039,1744.98
1647264770,a193aa,42.10440426,-87.88583445,149.0219159,1874.52
1647264780,a193aa,42.11778259,-87.88038774,150.3840454,2026.92
1647264790,a193aa,42.13069153,-87.87614302,154.0070408,2125.98
1647264800,a193aa,42.14476505,-87.87222929,156.3808222,2232.66
1647264810,a193aa,42.15826519,-87.8685246,158.6023427,2354.58
1647264820,a193aa,42.17225647,-87.86465732,160.2177178,2491.74
1647264830,a193aa,42.18708801,-87.86053744,161.3296712,2628.9
1647264840,a193aa,42.20091248,-87.85666726,162.8408267,2758.44
1647264850,a193aa,42.21551514,-87.85260981,164.9601406,2865.12
1647264860,a193aa,42.22993469,-87.84861478,167.5832421,2971.8
